country,Llama 3.2-3B,Qwen 2.5-3B
Andorra,100.00,75.00
Australia,33.13,40.63
Austria,35.75,48.35
Belgium,26.25,32.66
Brazil,37.50,62.50
Cameroon,0.00,0.00
Canada,31.44,34.30
China,5.49,25.16
Comoros,63.39,70.87
Egypt,34.67,34.98
France,42.82,46.38
Germany,33.56,38.91
Indonesia,34.94,49.40
Iraq,25.60,23.21
Ireland,21.75,35.15
Italy,33.69,39.16
Japan,24.11,32.20
Jordan,25.93,32.41
Kuwait,59.45,9.76
Lebanon,0.00,0.00
Libya,31.67,36.67
Liechtenstein,83.33,83.33
Luxembourg,40.00,75.00
Malaysia,37.62,50.50
Mauritania,0.00,100.00
Monaco,53.57,53.57
Mongolia,44.44,55.56
Morocco,36.36,43.18
Myanmar,31.43,51.43
Netherlands,16.26,24.54
New Zealand,21.96,47.97
North Korea,25.33,32.00
Philippines,33.04,52.68
Portugal,36.49,48.17
San Marino,83.33,66.67
Singapore,56.67,60.00
Somalia,0.00,0.00
South Korea,27.58,30.21
South Sudan,27.18,32.55
Spain,47.47,50.87
Switzerland,21.90,40.92
Syria,42.37,46.40
Taiwan,33.33,35.98
Thailand,27.82,35.92
Tunisia,27.60,38.02
UAE,28.29,38.16
United Kingdom,31.43,35.88
United States,32.61,31.19
Vietnam,19.54,27.59
