model,culture,country,culture_display,accuracy,valid_format,num_samples,accuracy_min,accuracy_max,file
Llama 3.2-3B,AS,Assam (Assamese),ASSAM (ASSAMESE),65.4111679894801,100.0,21293,0.0,100.0,assamese_llama_3b_summary.json
Llama 3.2-3B,CN,China,CHINA,79.58353748162665,100.0,20410,0.0,100.0,china_llama_3b_summary.json
Llama 3.2-3B,INDONESIA,INDONESIA,INDONESIA,78.0963240484335,100.0,18417,0.0,100.0,indonesia_llama_3b_summary.json
Llama 3.2-3B,IR,Iran,IRAN,74.374064322957,100.0,19371,0.0,100.0,iran_llama_3b_summary.json
Llama 3.2-3B,JB,West Java (Sundanese),WEST JAVA (SUNDANESE),66.65576558309895,100.0,15289,0.0,100.0,sundanese_llama_3b_summary.json
Llama 3.2-3B,KR,South Korea,SOUTH KOREA,74.83558001772471,100.0,21439,0.0,100.0,south_korea_llama_3b_summary.json
Llama 3.2-3B,MEXICO,MEXICO,MEXICO,81.38741286013747,100.0,20513,0.0,100.0,mexico_llama_3b_summary.json
Llama 3.2-3B,NIGERIA,NIGERIA,NIGERIA,64.96905068333639,100.0,16317,0.0,100.0,nigeria_llama_3b_summary.json
Llama 3.2-3B,SPAIN,SPAIN,SPAIN,81.01141078838174,100.0,19280,0.0,100.0,spain_llama_3b_summary.json
Llama 3.2-3B,UK,United Kingdom,UNITED KINGDOM,85.7322250792322,100.0,16723,0.0,100.0,uk_llama_3b_summary.json
Llama 3.2-3B,US,United States,UNITED STATES,87.85398095931114,100.0,16491,0.0,100.0,us_llama_3b_summary.json
Qwen 2.5-3B,AS,Assam (Assamese),ASSAM (ASSAMESE),68.34640492180529,99.99530362090829,21293,0.0,100.0,assamese_qwen_2.5b_summary.json
Qwen 2.5-3B,CN,China,CHINA,81.35717785399315,99.98530132288094,20410,0.0,100.0,china_qwen_2.5b_summary.json
Qwen 2.5-3B,INDONESIA,INDONESIA,INDONESIA,76.93435412933702,100.0,18417,0.0,100.0,indonesia_qwen_2.5b_summary.json
Qwen 2.5-3B,IR,Iran,IRAN,70.86366217541686,99.93805172680811,19371,0.0,100.0,iran_qwen_2.5b_summary.json
Qwen 2.5-3B,JB,West Java (Sundanese),WEST JAVA (SUNDANESE),64.60854208908366,99.89534959775001,15289,0.0,100.0,sundanese_qwen_2.5b_summary.json
Qwen 2.5-3B,KR,South Korea,SOUTH KOREA,73.97733103223099,99.99067120667942,21439,0.0,100.0,south_korea_qwen_2.5b_summary.json
Qwen 2.5-3B,MEXICO,MEXICO,MEXICO,80.77316823477794,99.97075025593526,20513,0.0,100.0,mexico_qwen_2.5b_summary.json
Qwen 2.5-3B,NIGERIA,NIGERIA,NIGERIA,59.72911687197402,99.89581418152846,16317,0.0,100.0,nigeria_qwen_2.5b_20251204_222401_summary.json
Qwen 2.5-3B,SPAIN,SPAIN,SPAIN,79.68879668049793,99.9896265560166,19280,0.0,100.0,spain_qwen_2.5b_summary.json
Qwen 2.5-3B,UK,United Kingdom,UNITED KINGDOM,84.75751958380673,100.0,16723,0.0,100.0,uk_qwen_2.5b_summary.json
Qwen 2.5-3B,US,United States,UNITED STATES,86.52598386998969,99.96361651810078,16491,0.0,100.0,us_qwen_2.5b_summary.json
