country,Llama 3.2-3B,Qwen 2.5-3B
Bangladesh,72.0,60.0
Canada,85.71,57.14
China,57.63,57.63
Egypt,45.0,50.0
France,64.29,57.14
Germany,68.75,56.25
Hong Kong,66.67,63.89
India,69.57,54.35
Iran,45.95,48.65
Israel,46.15,53.85
Japan,71.7,69.81
Lebanon,54.55,50.0
Morocco,64.71,41.18
Nepal,85.71,80.95
Netherlands,48.0,40.0
Nigeria,81.82,68.18
Pakistan,78.57,85.71
Saudi Arabia,47.06,41.18
South Africa,79.31,70.69
South Korea,56.1,46.34
Taiwan,40.91,54.55
Turkey,65.79,63.16
United Kingdom,76.0,72.0
United States,85.0,85.0
Zimbabwe,88.24,76.47
