country,Llama 3.2-3B,Qwen 2.5-3B,Average,Difference
Comoros,61.81,5.51,33.66,56.3
Syria,36.44,27.97,32.2,8.47
Luxembourg,30.0,30.0,30.0,0.0
Portugal,29.41,26.47,27.94,2.94
Egypt,29.06,16.64,22.85,12.43
Morocco,29.55,13.64,21.59,15.91
Spain,26.33,16.39,21.36,9.94
Germany,21.32,18.89,20.1,2.42
Korea (South),22.23,17.3,19.76,4.93
Libya,18.33,20.0,19.17,-1.67
France,21.91,15.77,18.84,6.14
Italy,17.32,20.28,18.8,-2.95
United Arab Emirates,23.68,13.82,18.75,9.87
Indonesia,24.1,13.25,18.67,10.84
Canada,17.48,18.54,18.01,-1.07
Jordan,22.22,13.43,17.82,8.8
South Sudan,22.15,12.58,17.37,9.56
United States,19.5,15.02,17.26,4.48
Austria,22.81,8.77,15.79,14.04
United Kingdom,16.17,14.85,15.51,1.32
Tunisia,17.71,9.9,13.8,7.81
Switzerland,11.58,15.79,13.68,-4.21
Ireland,5.19,20.78,12.99,-15.58
Iraq,15.48,9.52,12.5,5.95
Kuwait,14.72,8.37,11.54,6.35
New Zealand,8.11,13.51,10.81,-5.41
Belgium,13.73,6.86,10.29,6.86
Australia,7.84,12.25,10.05,-4.41
Japan,15.71,2.86,9.29,12.86
Unknown Country,10.09,6.72,8.41,3.36
Netherlands,5.13,10.26,7.69,-5.13
China,1.92,2.72,2.32,-0.8
