country,Llama 3.2-3B,Qwen 2.5-3B,Average,Difference
Syria,43.33,42.06,42.69,1.27
Morocco,38.64,40.91,39.77,-2.27
Egypt,37.21,32.68,34.95,4.52
United Arab Emirates,31.58,35.53,33.55,-3.95
Libya,35.0,31.67,33.33,3.33
Austria,28.07,38.6,33.33,-10.53
Luxembourg,20.0,40.0,30.0,-20.0
Tunisia,27.08,32.29,29.69,-5.21
Spain,23.17,34.22,28.69,-11.05
Portugal,26.47,30.88,28.68,-4.41
South Sudan,28.86,26.01,27.43,2.85
Jordan,29.63,25.0,27.31,4.63
Iraq,27.38,22.02,24.7,5.36
Indonesia,15.66,33.73,24.7,-18.07
New Zealand,16.22,29.73,22.97,-13.51
Korea (South),22.01,22.92,22.47,-0.91
United States,16.46,26.34,21.4,-9.88
Canada,15.42,23.46,19.44,-8.03
Italy,16.54,22.24,19.39,-5.71
United Kingdom,13.65,24.68,19.17,-11.04
Switzerland,12.63,25.26,18.95,-12.63
Kuwait,19.29,17.12,18.2,2.17
Germany,11.1,23.14,17.12,-12.04
France,11.05,22.55,16.8,-11.5
Australia,12.75,18.14,15.44,-5.39
Belgium,7.84,22.55,15.2,-14.71
Unknown Country,13.2,14.3,13.75,-1.1
Comoros,12.99,14.17,13.58,-1.18
Japan,12.86,10.0,11.43,2.86
Ireland,3.9,15.58,9.74,-11.69
China,4.13,6.48,5.31,-2.35
Netherlands,5.13,2.56,3.85,2.56
