country,Llama 3.2-3B,Qwen 2.5-3B,Average,Difference
Luxembourg,40.0,50.0,45.0,-10.0
Syria,39.62,40.68,40.15,-1.06
Comoros,62.99,14.57,38.78,48.43
Austria,35.09,42.11,38.6,-7.02
Spain,36.15,40.54,38.34,-4.39
Morocco,36.36,36.36,36.36,0.0
Portugal,30.88,38.24,34.56,-7.35
Indonesia,27.71,37.35,32.53,-9.64
France,34.15,30.13,32.14,4.02
Egypt,32.82,30.7,31.76,2.12
Germany,28.74,31.93,30.33,-3.19
United Arab Emirates,27.63,32.89,30.26,-5.26
Libya,26.67,33.33,30.0,-6.67
Canada,29.28,29.67,29.48,-0.38
Italy,27.76,29.92,28.84,-2.17
Switzerland,24.21,32.63,28.42,-8.42
United States,28.64,26.76,27.7,1.88
United Kingdom,26.28,27.33,26.81,-1.05
Jordan,25.46,27.78,26.62,-2.31
Australia,21.08,31.37,26.23,-10.29
South Sudan,25.67,26.68,26.17,-1.01
Japan,20.0,31.43,25.71,-11.43
Korea (South),25.12,26.14,25.63,-1.02
Tunisia,21.88,27.08,24.48,-5.21
New Zealand,13.51,35.14,24.32,-21.62
Belgium,18.63,29.41,24.02,-10.78
Iraq,22.02,19.64,20.83,2.38
Unknown Country,13.13,24.06,18.59,-10.94
Ireland,7.79,27.27,17.53,-19.48
Kuwait,17.82,17.04,17.43,0.77
China,5.21,23.52,14.37,-18.31
Netherlands,12.82,15.38,14.1,-2.56
