country,model,exact_match,overlap,llm_judge_correct,accuracy,num_samples
Andorra,Llama 3.2-3B,66.66666666666666,100.0,50.0,50.0,6
Andorra,Qwen 2.5-3B,33.33333333333333,66.66666666666666,50.0,50.0,6
Australia,Llama 3.2-3B,7.8431372549019605,21.07843137254902,12.745098039215685,12.745098039215685,204
Australia,Qwen 2.5-3B,12.254901960784313,31.372549019607842,18.137254901960784,18.137254901960784,204
Austria,Llama 3.2-3B,22.807017543859647,35.08771929824561,28.07017543859649,28.07017543859649,57
Austria,Qwen 2.5-3B,8.771929824561402,42.10526315789473,38.59649122807017,38.59649122807017,57
Belgium,Llama 3.2-3B,13.725490196078432,18.627450980392158,7.8431372549019605,7.8431372549019605,102
Belgium,Qwen 2.5-3B,6.862745098039216,29.411764705882355,22.54901960784314,22.54901960784314,102
Brazil,Llama 3.2-3B,0.0,0.0,0.0,0.0,5
Brazil,Qwen 2.5-3B,12.5,87.5,0.0,0.0,5
Cameroon,Llama 3.2-3B,0.0,0.0,0.0,0.0,1
Cameroon,Qwen 2.5-3B,0.0,0.0,0.0,0.0,1
Canada,Llama 3.2-3B,17.47640497640498,29.284641784641785,15.422565422565423,15.422565422565423,570
Canada,Qwen 2.5-3B,18.543543543543542,29.665379665379668,23.455598455598455,23.455598455598455,570
China,Llama 3.2-3B,1.9248826291079812,5.211267605633803,4.131455399061033,4.131455399061033,1068
China,Qwen 2.5-3B,2.7230046948356805,23.521126760563376,6.478873239436619,6.478873239436619,1068
Comoros,Llama 3.2-3B,61.811023622047244,62.99212598425197,12.992125984251967,12.992125984251967,128
Comoros,Qwen 2.5-3B,5.511811023622047,14.566929133858267,14.173228346456693,14.173228346456693,128
Egypt,Llama 3.2-3B,29.063696484510963,32.82283327532196,37.20849286460146,37.20849286460146,2873
Egypt,Qwen 2.5-3B,16.637660981552386,30.69961712495649,32.68360598677341,32.68360598677341,2873
France,Llama 3.2-3B,21.913660191181005,34.151711378353376,11.048103607770583,11.048103607770583,1819
France,Qwen 2.5-3B,15.774283071230341,30.12673450508788,22.549799568300955,22.549799568300955,1819
Germany,Llama 3.2-3B,21.315589353612168,28.73764258555133,11.097591888466413,11.097591888466413,839
Germany,Qwen 2.5-3B,18.893536121673,31.927756653992397,23.139416983523446,23.139416983523446,839
Indonesia,Llama 3.2-3B,24.096385542168676,27.710843373493976,15.66265060240964,15.66265060240964,83
Indonesia,Qwen 2.5-3B,13.253012048192772,37.34939759036144,33.734939759036145,33.734939759036145,83
Iraq,Llama 3.2-3B,15.476190476190476,22.023809523809522,27.380952380952383,27.380952380952383,168
Iraq,Qwen 2.5-3B,9.523809523809524,19.642857142857142,22.023809523809522,22.023809523809522,168
Ireland,Llama 3.2-3B,5.194805194805195,7.792207792207792,3.896103896103896,3.896103896103896,84
Ireland,Qwen 2.5-3B,20.77922077922078,27.27272727272727,15.584415584415584,15.584415584415584,84
Italy,Llama 3.2-3B,17.322834645669293,27.755905511811026,16.535433070866144,16.535433070866144,508
Italy,Qwen 2.5-3B,20.275590551181104,29.92125984251969,22.244094488188974,22.244094488188974,508
Japan,Llama 3.2-3B,15.714285714285714,20.0,12.857142857142858,12.857142857142858,42
Japan,Qwen 2.5-3B,2.857142857142857,31.428571428571427,10.0,10.0,42
Jordan,Llama 3.2-3B,22.22222222222222,25.462962962962965,29.629629629629626,29.629629629629626,216
Jordan,Qwen 2.5-3B,13.425925925925927,27.77777777777778,25.0,25.0,216
Korea (North),Llama 3.2-3B,75.0,75.0,75.0,75.0,4
Korea (North),Qwen 2.5-3B,25.0,50.0,75.0,75.0,4
Korea (South),Llama 3.2-3B,22.228173540439208,25.12051419389395,22.013926084627744,22.013926084627744,1867
Korea (South),Qwen 2.5-3B,17.300482056775575,26.138189608998392,22.92447777182646,22.92447777182646,1867
Kuwait,Llama 3.2-3B,14.717273431448488,17.815646785437643,19.287374128582492,19.287374128582492,1291
Kuwait,Qwen 2.5-3B,8.365608055770721,17.041053446940357,17.118512780790084,17.118512780790084,1291
Lebanon,Llama 3.2-3B,0.0,0.0,0.0,0.0,2
Lebanon,Qwen 2.5-3B,0.0,0.0,0.0,0.0,2
