Culture,Country,Predicate,Accuracy (%),Samples
Arab,Australia,P27 (Country of citizenship),0.0,1
Arab,Brazil,P17 (Country),0.0,1
Arab,Cameroon,P495 (Country of origin),0.0,1
Arab,Canada,P27 (Country of citizenship),0.0,6
Arab,Canada,P495 (Country of origin),0.0,3
Arab,China,P17 (Country),0.0,1
Arab,Comoros,P1376 (Capital of),100.0,1
Arab,Comoros,P30 (Continent),100.0,1
Arab,Comoros,P364 (Original language of work),100.0,2
Arab,Comoros,P36 (Capital),100.0,1
Arab,Comoros,P37 (Official language),100.0,1
Arab,Comoros,P47 (Shares border with),100.0,1
Arab,Comoros,P103 (Native language),75.0,4
Arab,Comoros,P1412 (Languages spoken or published),66.67,9
Arab,Comoros,P17 (Country),42.42,33
Arab,Comoros,P495 (Country of origin),20.0,5
Arab,Comoros,P19 (Place of birth),9.09,11
Arab,Comoros,P106 (Occupation),7.69,13
Arab,Comoros,P27 (Country of citizenship),6.25,16
Arab,Comoros,P1303 (Instrument),0.0,7
Arab,Comoros,P136 (Genre),0.0,2
Arab,Comoros,P190 (Sister city),0.0,2
Arab,Comoros,P20 (Place of death),0.0,14
Arab,Comoros,P264 (Record label),0.0,3
Arab,Comoros,P530 (Diplomatic relation),0.0,1
Arab,Egypt,P30 (Continent),100.0,1
Arab,Egypt,P36 (Capital),100.0,1
Arab,Egypt,P37 (Official language),100.0,1
Arab,Egypt,P47 (Shares border with),100.0,1
Arab,Egypt,P103 (Native language),90.07,413
Arab,Egypt,P1412 (Languages spoken or published),81.62,272
Arab,Egypt,P17 (Country),50.71,140
Arab,Egypt,P1376 (Capital of),50.0,2
Arab,Egypt,P364 (Original language of work),37.24,529
Arab,Egypt,P19 (Place of birth),21.95,205
Arab,Egypt,P27 (Country of citizenship),18.86,175
Arab,Egypt,P106 (Occupation),18.1,221
Arab,Egypt,P264 (Record label),3.45,29
Arab,Egypt,P136 (Genre),3.33,60
Arab,Egypt,P1303 (Instrument),1.94,155
Arab,Egypt,P20 (Place of death),1.72,233
Arab,Egypt,P495 (Country of origin),0.25,408
Arab,Egypt,P190 (Sister city),0.0,8
Arab,Egypt,P449 (Original network),0.0,18
Arab,Egypt,P530 (Diplomatic relation),0.0,1
Arab,France,P17 (Country),25.0,4
Arab,France,P27 (Country of citizenship),19.23,52
Arab,France,P495 (Country of origin),0.0,52
Arab,Germany,P495 (Country of origin),0.0,5
Arab,Iraq,P103 (Native language),100.0,4
Arab,Iraq,P1376 (Capital of),100.0,1
Arab,Iraq,P190 (Sister city),100.0,1
Arab,Iraq,P30 (Continent),100.0,1
Arab,Iraq,P36 (Capital),100.0,1
Arab,Iraq,P37 (Official language),100.0,1
Arab,Iraq,P47 (Shares border with),100.0,1
Arab,Iraq,P1412 (Languages spoken or published),84.62,13
Arab,Iraq,P17 (Country),41.67,12
Arab,Iraq,P19 (Place of birth),22.73,22
Arab,Iraq,P27 (Country of citizenship),20.0,30
Arab,Iraq,P106 (Occupation),15.62,32
Arab,Iraq,P1303 (Instrument),5.88,17
Arab,Iraq,P136 (Genre),0.0,8
Arab,Iraq,P20 (Place of death),0.0,5
Arab,Iraq,P264 (Record label),0.0,6
Arab,Iraq,P364 (Original language of work),0.0,1
Arab,Iraq,P449 (Original network),0.0,3
Arab,Iraq,P495 (Country of origin),0.0,8
Arab,Iraq,P530 (Diplomatic relation),0.0,1
Arab,Italy,P17 (Country),0.0,1
Arab,Japan,P495 (Country of origin),0.0,1
Arab,Jordan,P36 (Capital),100.0,1
Arab,Jordan,P37 (Official language),100.0,1
Arab,Jordan,P47 (Shares border with),100.0,1
Arab,Jordan,P530 (Diplomatic relation),100.0,1
Arab,Jordan,P103 (Native language),93.75,16
Arab,Jordan,P364 (Original language of work),80.0,10
Arab,Jordan,P1412 (Languages spoken or published),68.42,19
Arab,Jordan,P17 (Country),42.86,28
Arab,Jordan,P106 (Occupation),9.52,21
Arab,Jordan,P19 (Place of birth),8.33,12
Arab,Jordan,P20 (Place of death),2.56,39
Arab,Jordan,P1303 (Instrument),0.0,18
Arab,Jordan,P136 (Genre),0.0,5
Arab,Jordan,P190 (Sister city),0.0,3
Arab,Jordan,P264 (Record label),0.0,3
Arab,Jordan,P27 (Country of citizenship),0.0,20
Arab,Jordan,P30 (Continent),0.0,1
Arab,Jordan,P449 (Original network),0.0,1
Arab,Jordan,P495 (Country of origin),0.0,16
Arab,Kuwait,P1376 (Capital of),100.0,1
Arab,Kuwait,P30 (Continent),100.0,1
Arab,Kuwait,P36 (Capital),100.0,1
Arab,Kuwait,P37 (Official language),100.0,1
Arab,Kuwait,P47 (Shares border with),100.0,1
Arab,Kuwait,P1412 (Languages spoken or published),61.21,116
Arab,Kuwait,P17 (Country),49.18,61
Arab,Kuwait,P364 (Original language of work),36.69,139
Arab,Kuwait,P103 (Native language),23.63,182
Arab,Kuwait,P19 (Place of birth),14.77,88
Arab,Kuwait,P106 (Occupation),11.65,103
Arab,Kuwait,P27 (Country of citizenship),8.0,100
Arab,Kuwait,P264 (Record label),3.85,26
Arab,Kuwait,P136 (Genre),3.41,88
Arab,Kuwait,P495 (Country of origin),2.83,106
Arab,Kuwait,P1303 (Instrument),1.16,173
Arab,Kuwait,P190 (Sister city),0.0,12
Arab,Kuwait,P20 (Place of death),0.0,48
Arab,Kuwait,P449 (Original network),0.0,41
Arab,Kuwait,P530 (Diplomatic relation),0.0,1
Arab,Lebanon,P17 (Country),0.0,1
Arab,Libya,P1376 (Capital of),100.0,1
Arab,Libya,P30 (Continent),100.0,1
Arab,Libya,P36 (Capital),100.0,1
Arab,Libya,P37 (Official language),100.0,1
Arab,Libya,P47 (Shares border with),100.0,1
Arab,Libya,P1412 (Languages spoken or published),62.5,8
Arab,Libya,P19 (Place of birth),57.14,7
Arab,Libya,P364 (Original language of work),40.0,5
Arab,Libya,P17 (Country),16.67,6
Arab,Libya,P27 (Country of citizenship),14.29,7
Arab,Libya,P106 (Occupation),12.5,8
Arab,Libya,P103 (Native language),0.0,2
Arab,Libya,P1303 (Instrument),0.0,2
Arab,Libya,P136 (Genre),0.0,1
Arab,Libya,P190 (Sister city),0.0,1
Arab,Libya,P20 (Place of death),0.0,1
Arab,Libya,P264 (Record label),0.0,1
Arab,Libya,P495 (Country of origin),0.0,5
Arab,Libya,P530 (Diplomatic relation),0.0,1
Arab,Mauritania,P17 (Country),0.0,1
Arab,Monaco,P27 (Country of citizenship),0.0,1
Arab,Morocco,P103 (Native language),100.0,3
Arab,Morocco,P36 (Capital),100.0,1
Arab,Morocco,P37 (Official language),100.0,1
Arab,Morocco,P47 (Shares border with),100.0,1
Arab,Morocco,P1412 (Languages spoken or published),66.67,3
Arab,Morocco,P27 (Country of citizenship),66.67,3
Arab,Morocco,P20 (Place of death),50.0,2
Arab,Morocco,P17 (Country),40.0,10
Arab,Morocco,P19 (Place of birth),33.33,3
Arab,Morocco,P106 (Occupation),0.0,4
Arab,Morocco,P1303 (Instrument),0.0,3
Arab,Morocco,P136 (Genre),0.0,1
Arab,Morocco,P190 (Sister city),0.0,1
Arab,Morocco,P30 (Continent),0.0,1
Arab,Morocco,P495 (Country of origin),0.0,6
Arab,Morocco,P530 (Diplomatic relation),0.0,1
Arab,Netherlands,P495 (Country of origin),0.0,1
Arab,Somalia,P495 (Country of origin),0.0,1
Arab,South Sudan,P36 (Capital),100.0,1
Arab,South Sudan,P37 (Official language),100.0,1
Arab,South Sudan,P47 (Shares border with),100.0,1
Arab,South Sudan,P1412 (Languages spoken or published),81.82,77
Arab,South Sudan,P364 (Original language of work),70.59,34
Arab,South Sudan,P17 (Country),65.52,58
Arab,South Sudan,P103 (Native language),60.0,15
Arab,South Sudan,P106 (Occupation),18.97,58
Arab,South Sudan,P19 (Place of birth),11.11,72
Arab,South Sudan,P27 (Country of citizenship),4.55,44
Arab,South Sudan,P136 (Genre),4.17,24
