Culture,Country,Predicate,Accuracy (%),Samples
Asian,Australia,P17 (Country),0.0,1
Asian,Australia,P27 (Country of citizenship),0.0,1
Asian,Canada,P27 (Country of citizenship),0.0,1
Asian,China,P30 (Continent),100.0,1
Asian,China,P36 (Capital),100.0,1
Asian,China,P37 (Official language),100.0,1
Asian,China,P103 (Native language),75.93,54
Asian,China,P364 (Original language of work),45.83,24
Asian,China,P106 (Occupation),45.45,66
Asian,China,P1412 (Languages spoken or published),37.5,40
Asian,China,P19 (Place of birth),6.1,82
Asian,China,P264 (Record label),4.17,24
Asian,China,P136 (Genre),3.75,80
Asian,China,P17 (Country),3.33,150
Asian,China,P27 (Country of citizenship),2.38,42
Asian,China,P449 (Original network),2.08,48
Asian,China,P1303 (Instrument),1.25,80
Asian,China,P1376 (Capital of),0.0,1
Asian,China,P190 (Sister city),0.0,143
Asian,China,P20 (Place of death),0.0,206
Asian,China,P47 (Shares border with),0.0,1
Asian,China,P495 (Country of origin),0.0,18
Asian,China,P530 (Diplomatic relation),0.0,1
Asian,France,P17 (Country),0.0,2
Asian,France,P495 (Country of origin),0.0,1
Asian,Indonesia,P1376 (Capital of),100.0,2
Asian,Indonesia,P30 (Continent),100.0,1
Asian,Indonesia,P36 (Capital),100.0,1
Asian,Indonesia,P37 (Official language),100.0,1
Asian,Indonesia,P47 (Shares border with),100.0,1
Asian,Indonesia,P106 (Occupation),75.0,4
Asian,Indonesia,P17 (Country),75.0,20
Asian,Indonesia,P103 (Native language),66.67,3
Asian,Indonesia,P27 (Country of citizenship),33.33,3
Asian,Indonesia,P19 (Place of birth),25.0,4
Asian,Indonesia,P1412 (Languages spoken or published),20.0,5
Asian,Indonesia,P1303 (Instrument),0.0,2
Asian,Indonesia,P136 (Genre),0.0,2
Asian,Indonesia,P190 (Sister city),0.0,12
Asian,Indonesia,P20 (Place of death),0.0,12
Asian,Indonesia,P264 (Record label),0.0,2
Asian,Indonesia,P449 (Original network),0.0,2
Asian,Indonesia,P495 (Country of origin),0.0,5
Asian,Indonesia,P530 (Diplomatic relation),0.0,1
Asian,Japan,P30 (Continent),100.0,1
Asian,Japan,P36 (Capital),100.0,1
Asian,Japan,P37 (Official language),100.0,1
Asian,Japan,P103 (Native language),96.31,569
Asian,Japan,P1412 (Languages spoken or published),88.14,767
Asian,Japan,P1376 (Capital of),85.71,7
Asian,Japan,P364 (Original language of work),80.56,895
Asian,Japan,P17 (Country),80.14,569
Asian,Japan,P27 (Country of citizenship),48.99,741
Asian,Japan,P106 (Occupation),21.42,747
Asian,Japan,P449 (Original network),14.02,656
Asian,Japan,P19 (Place of birth),7.55,728
Asian,Japan,P1303 (Instrument),3.12,672
Asian,Japan,P136 (Genre),2.35,639
Asian,Japan,P264 (Record label),2.28,702
Asian,Japan,P190 (Sister city),2.0,150
