Culture,Country,Predicate,Accuracy (%),Samples
Asian,Australia,P17 (Country),100.0,1
Asian,Australia,P27 (Country of citizenship),100.0,1
Asian,Canada,P27 (Country of citizenship),0.0,1
Asian,China,P30 (Continent),100.0,1
Asian,China,P36 (Capital),100.0,1
Asian,China,P37 (Official language),100.0,1
Asian,China,P106 (Occupation),65.15,66
Asian,China,P103 (Native language),61.11,54
Asian,China,P1412 (Languages spoken or published),60.0,40
Asian,China,P364 (Original language of work),54.17,24
Asian,China,P19 (Place of birth),19.51,82
Asian,China,P17 (Country),19.33,150
Asian,China,P27 (Country of citizenship),9.52,42
Asian,China,P136 (Genre),7.5,80
Asian,China,P449 (Original network),6.25,48
Asian,China,P495 (Country of origin),5.56,18
Asian,China,P20 (Place of death),2.91,206
Asian,China,P1303 (Instrument),0.0,80
Asian,China,P1376 (Capital of),0.0,1
Asian,China,P190 (Sister city),0.0,143
Asian,China,P264 (Record label),0.0,24
Asian,China,P47 (Shares border with),0.0,1
Asian,China,P530 (Diplomatic relation),0.0,1
Asian,France,P17 (Country),0.0,2
Asian,France,P495 (Country of origin),0.0,1
Asian,Indonesia,P106 (Occupation),100.0,4
Asian,Indonesia,P1376 (Capital of),100.0,2
Asian,Indonesia,P1412 (Languages spoken or published),100.0,5
Asian,Indonesia,P30 (Continent),100.0,1
Asian,Indonesia,P36 (Capital),100.0,1
Asian,Indonesia,P37 (Official language),100.0,1
Asian,Indonesia,P17 (Country),80.0,20
Asian,Indonesia,P19 (Place of birth),75.0,4
Asian,Indonesia,P27 (Country of citizenship),66.67,3
Asian,Indonesia,P136 (Genre),50.0,2
Asian,Indonesia,P495 (Country of origin),40.0,5
Asian,Indonesia,P103 (Native language),33.33,3
Asian,Indonesia,P20 (Place of death),16.67,12
Asian,Indonesia,P1303 (Instrument),0.0,2
Asian,Indonesia,P190 (Sister city),0.0,12
Asian,Indonesia,P264 (Record label),0.0,2
Asian,Indonesia,P449 (Original network),0.0,2
Asian,Indonesia,P47 (Shares border with),0.0,1
Asian,Indonesia,P530 (Diplomatic relation),0.0,1
Asian,Japan,P30 (Continent),100.0,1
Asian,Japan,P36 (Capital),100.0,1
Asian,Japan,P37 (Official language),100.0,1
Asian,Japan,P47 (Shares border with),100.0,1
Asian,Japan,P103 (Native language),92.09,569
Asian,Japan,P1376 (Capital of),85.71,7
Asian,Japan,P364 (Original language of work),78.44,895
Asian,Japan,P17 (Country),71.35,569
Asian,Japan,P1412 (Languages spoken or published),57.63,767
Asian,Japan,P19 (Place of birth),45.6,728
Asian,Japan,P27 (Country of citizenship),36.3,741
Asian,Japan,P106 (Occupation),34.0,747
Asian,Japan,P20 (Place of death),20.12,517
Asian,Japan,P495 (Country of origin),15.49,923
Asian,Japan,P1303 (Instrument),14.58,672
Asian,Japan,P136 (Genre),4.69,639
Asian,Japan,P449 (Original network),1.68,656
Asian,Japan,P190 (Sister city),1.33,150
Asian,Japan,P264 (Record label),0.0,702
Asian,Japan,P530 (Diplomatic relation),0.0,1
Asian,Lebanon,P17 (Country),0.0,1
Asian,Malaysia,P30 (Continent),100.0,1
Asian,Malaysia,P36 (Capital),100.0,1
Asian,Malaysia,P37 (Official language),100.0,1
Asian,Malaysia,P17 (Country),78.57,28
Asian,Malaysia,P27 (Country of citizenship),72.73,11
Asian,Malaysia,P103 (Native language),66.67,3
Asian,Malaysia,P1412 (Languages spoken or published),66.67,9
Asian,Malaysia,P106 (Occupation),55.56,9
Asian,Malaysia,P19 (Place of birth),40.0,5
Asian,Malaysia,P1303 (Instrument),25.0,4
Asian,Malaysia,P20 (Place of death),14.29,7
Asian,Malaysia,P136 (Genre),11.11,9
Asian,Malaysia,P190 (Sister city),0.0,7
Asian,Malaysia,P264 (Record label),0.0,3
Asian,Malaysia,P449 (Original network),0.0,1
Asian,Malaysia,P47 (Shares border with),0.0,1
Asian,Malaysia,P530 (Diplomatic relation),0.0,1
Asian,Mongolia,P106 (Occupation),100.0,1
Asian,Mongolia,P1376 (Capital of),100.0,1
Asian,Mongolia,P1412 (Languages spoken or published),100.0,1
Asian,Mongolia,P27 (Country of citizenship),100.0,1
Asian,Mongolia,P30 (Continent),100.0,1
Asian,Mongolia,P36 (Capital),100.0,1
Asian,Mongolia,P37 (Official language),100.0,1
Asian,Mongolia,P17 (Country),66.67,3
Asian,Mongolia,P20 (Place of death),33.33,3
Asian,Mongolia,P190 (Sister city),0.0,2
Asian,Mongolia,P19 (Place of birth),0.0,1
Asian,Mongolia,P47 (Shares border with),0.0,1
Asian,Mongolia,P530 (Diplomatic relation),0.0,1
Asian,Myanmar,P103 (Native language),100.0,2
Asian,Myanmar,P106 (Occupation),100.0,1
Asian,Myanmar,P1376 (Capital of),100.0,1
Asian,Myanmar,P1412 (Languages spoken or published),100.0,1
Asian,Myanmar,P27 (Country of citizenship),100.0,1
Asian,Myanmar,P30 (Continent),100.0,1
Asian,Myanmar,P37 (Official language),100.0,1
Asian,Myanmar,P17 (Country),71.43,7
Asian,Myanmar,P20 (Place of death),36.36,11
Asian,Myanmar,P19 (Place of birth),33.33,3
Asian,Myanmar,P190 (Sister city),0.0,3
Asian,Myanmar,P36 (Capital),0.0,1
Asian,Myanmar,P47 (Shares border with),0.0,1
Asian,Myanmar,P530 (Diplomatic relation),0.0,1
Asian,North Korea,P103 (Native language),100.0,6
Asian,North Korea,P30 (Continent),100.0,1
Asian,North Korea,P36 (Capital),100.0,1
Asian,North Korea,P37 (Official language),100.0,1
Asian,North Korea,P47 (Shares border with),100.0,1
Asian,North Korea,P495 (Country of origin),100.0,1
Asian,North Korea,P106 (Occupation),60.0,5
Asian,North Korea,P17 (Country),57.14,7
Asian,North Korea,P1412 (Languages spoken or published),40.0,5
Asian,North Korea,P27 (Country of citizenship),33.33,3
Asian,North Korea,P20 (Place of death),9.09,22
Asian,North Korea,P19 (Place of birth),8.33,12
Asian,North Korea,P1303 (Instrument),0.0,1
Asian,North Korea,P190 (Sister city),0.0,8
Asian,North Korea,P530 (Diplomatic relation),0.0,1
Asian,Philippines,P1376 (Capital of),100.0,1
Asian,Philippines,P30 (Continent),100.0,1
Asian,Philippines,P36 (Capital),100.0,1
Asian,Philippines,P37 (Official language),100.0,1
Asian,Philippines,P47 (Shares border with),100.0,1
Asian,Philippines,P495 (Country of origin),100.0,1
Asian,Philippines,P17 (Country),90.48,21
Asian,Philippines,P106 (Occupation),85.71,14
Asian,Philippines,P103 (Native language),80.0,5
Asian,Philippines,P27 (Country of citizenship),50.0,14
Asian,Philippines,P136 (Genre),40.0,5
Asian,Philippines,P20 (Place of death),33.33,15
Asian,Philippines,P19 (Place of birth),25.0,8
Asian,Philippines,P1412 (Languages spoken or published),18.18,11
Asian,Philippines,P1303 (Instrument),0.0,7
Asian,Philippines,P190 (Sister city),0.0,1
Asian,Philippines,P264 (Record label),0.0,3
Asian,Philippines,P449 (Original network),0.0,1
Asian,Philippines,P530 (Diplomatic relation),0.0,1
Asian,Singapore,P1376 (Capital of),100.0,1
Asian,Singapore,P1412 (Languages spoken or published),100.0,1
Asian,Singapore,P17 (Country),100.0,6
Asian,Singapore,P30 (Continent),100.0,1
Asian,Singapore,P36 (Capital),100.0,1
Asian,Singapore,P37 (Official language),100.0,1
Asian,Singapore,P449 (Original network),100.0,1
Asian,Singapore,P47 (Shares border with),100.0,1
Asian,Singapore,P27 (Country of citizenship),60.0,5
Asian,Singapore,P106 (Occupation),50.0,4
Asian,Singapore,P103 (Native language),0.0,2
Asian,Singapore,P1303 (Instrument),0.0,1
Asian,Singapore,P136 (Genre),0.0,1
Asian,Singapore,P190 (Sister city),0.0,1
Asian,Singapore,P264 (Record label),0.0,1
Asian,Singapore,P364 (Original language of work),0.0,1
Asian,Singapore,P530 (Diplomatic relation),0.0,1
Asian,South Korea,P1376 (Capital of),100.0,1
Asian,South Korea,P30 (Continent),100.0,1
Asian,South Korea,P36 (Capital),100.0,1
Asian,South Korea,P37 (Official language),100.0,1
Asian,South Korea,P47 (Shares border with),100.0,1
Asian,South Korea,P103 (Native language),87.14,311
Asian,South Korea,P17 (Country),70.59,51
Asian,South Korea,P1412 (Languages spoken or published),65.45,110
Asian,South Korea,P19 (Place of birth),44.21,95
Asian,South Korea,P27 (Country of citizenship),40.54,74
Asian,South Korea,P106 (Occupation),39.29,84
Asian,South Korea,P364 (Original language of work),33.33,63
Asian,South Korea,P495 (Country of origin),27.5,40
Asian,South Korea,P20 (Place of death),12.5,104
Asian,South Korea,P136 (Genre),9.95,211
Asian,South Korea,P449 (Original network),1.81,276
Asian,South Korea,P1303 (Instrument),1.14,176
Asian,South Korea,P264 (Record label),0.88,226
Asian,South Korea,P190 (Sister city),0.0,40
Asian,South Korea,P530 (Diplomatic relation),0.0,1
Asian,Taiwan,P30 (Continent),100.0,1
Asian,Taiwan,P36 (Capital),100.0,1
Asian,Taiwan,P37 (Official language),100.0,1
Asian,Taiwan,P17 (Country),86.49,37
Asian,Taiwan,P106 (Occupation),70.83,24
Asian,Taiwan,P1412 (Languages spoken or published),62.5,16
Asian,Taiwan,P27 (Country of citizenship),44.44,18
Asian,Taiwan,P103 (Native language),43.33,30
Asian,Taiwan,P19 (Place of birth),22.22,18
Asian,Taiwan,P136 (Genre),21.05,19
Asian,Taiwan,P1303 (Instrument),13.79,29
Asian,Taiwan,P1376 (Capital of),0.0,1
Asian,Taiwan,P190 (Sister city),0.0,9
Asian,Taiwan,P20 (Place of death),0.0,17
Asian,Taiwan,P264 (Record label),0.0,14
Asian,Taiwan,P364 (Original language of work),0.0,11
Asian,Taiwan,P449 (Original network),0.0,12
Asian,Taiwan,P47 (Shares border with),0.0,1
Asian,Taiwan,P495 (Country of origin),0.0,4
Asian,Taiwan,P530 (Diplomatic relation),0.0,1
Asian,Thailand,P30 (Continent),100.0,1
Asian,Thailand,P36 (Capital),100.0,1
Asian,Thailand,P37 (Official language),100.0,1
Asian,Thailand,P103 (Native language),83.33,12
Asian,Thailand,P17 (Country),81.82,55
Asian,Thailand,P364 (Original language of work),60.0,5
Asian,Thailand,P1412 (Languages spoken or published),57.89,19
Asian,Thailand,P106 (Occupation),50.0,26
Asian,Thailand,P19 (Place of birth),29.17,24
Asian,Thailand,P27 (Country of citizenship),23.08,26
Asian,Thailand,P20 (Place of death),11.76,34
Asian,Thailand,P1303 (Instrument),0.0,19
Asian,Thailand,P136 (Genre),0.0,25
Asian,Thailand,P190 (Sister city),0.0,4
Asian,Thailand,P264 (Record label),0.0,25
Asian,Thailand,P449 (Original network),0.0,3
Asian,Thailand,P47 (Shares border with),0.0,1
Asian,Thailand,P495 (Country of origin),0.0,2
Asian,Thailand,P530 (Diplomatic relation),0.0,1
Asian,UK,P17 (Country),100.0,2
Asian,UK,P27 (Country of citizenship),0.0,1
Asian,UK,P495 (Country of origin),0.0,3
Asian,USA,P17 (Country),66.67,3
Asian,USA,P27 (Country of citizenship),0.0,1
Asian,Unknown Country,P1376 (Capital of),90.91,11
Asian,Unknown Country,P17 (Country),71.43,14
Asian,Unknown Country,P27 (Country of citizenship),41.86,43
Asian,Unknown Country,P495 (Country of origin),0.0,1
Asian,Vietnam,P36 (Capital),100.0,1
Asian,Vietnam,P37 (Official language),100.0,1
Asian,Vietnam,P495 (Country of origin),100.0,1
Asian,Vietnam,P530 (Diplomatic relation),100.0,1
Asian,Vietnam,P17 (Country),69.57,23
Asian,Vietnam,P103 (Native language),66.67,3
Asian,Vietnam,P27 (Country of citizenship),42.86,14
Asian,Vietnam,P106 (Occupation),33.33,15
Asian,Vietnam,P1412 (Languages spoken or published),26.67,15
Asian,Vietnam,P19 (Place of birth),25.0,20
Asian,Vietnam,P136 (Genre),11.11,9
Asian,Vietnam,P20 (Place of death),9.62,52
Asian,Vietnam,P1303 (Instrument),0.0,9
Asian,Vietnam,P190 (Sister city),0.0,7
Asian,Vietnam,P30 (Continent),0.0,1
Asian,Vietnam,P364 (Original language of work),0.0,1
Asian,Vietnam,P47 (Shares border with),0.0,1
Western,Andorra,P1376 (Capital of),100.0,1
Western,Andorra,P36 (Capital),100.0,1
Western,Andorra,P37 (Official language),100.0,1
Western,Andorra,P47 (Shares border with),100.0,1
Western,Andorra,P530 (Diplomatic relation),100.0,1
Western,Andorra,P30 (Continent),0.0,1
Western,Australia,P103 (Native language),100.0,5
Western,Australia,P36 (Capital),100.0,1
Western,Australia,P37 (Official language),100.0,1
Western,Australia,P27 (Country of citizenship),88.89,18
