Culture,Country,Predicate,Accuracy (%),Samples
Arab,Australia,P27 (Country of citizenship),100.0,1
Arab,Brazil,P17 (Country),100.0,1
Arab,Cameroon,P495 (Country of origin),0.0,1
Arab,Canada,P27 (Country of citizenship),50.0,6
Arab,Canada,P495 (Country of origin),0.0,3
Arab,China,P17 (Country),100.0,1
Arab,Comoros,P1376 (Capital of),100.0,1
Arab,Comoros,P30 (Continent),100.0,1
Arab,Comoros,P36 (Capital),100.0,1
Arab,Comoros,P37 (Official language),100.0,1
Arab,Comoros,P530 (Diplomatic relation),100.0,1
Arab,Comoros,P1412 (Languages spoken or published),77.78,9
Arab,Comoros,P17 (Country),63.64,33
Arab,Comoros,P103 (Native language),50.0,4
Arab,Comoros,P364 (Original language of work),50.0,2
Arab,Comoros,P27 (Country of citizenship),43.75,16
Arab,Comoros,P106 (Occupation),38.46,13
Arab,Comoros,P19 (Place of birth),27.27,11
Arab,Comoros,P495 (Country of origin),20.0,5
Arab,Comoros,P20 (Place of death),7.14,14
Arab,Comoros,P1303 (Instrument),0.0,7
Arab,Comoros,P136 (Genre),0.0,2
Arab,Comoros,P190 (Sister city),0.0,2
Arab,Comoros,P264 (Record label),0.0,3
Arab,Comoros,P47 (Shares border with),0.0,1
Arab,Egypt,P1376 (Capital of),100.0,2
Arab,Egypt,P30 (Continent),100.0,1
Arab,Egypt,P36 (Capital),100.0,1
Arab,Egypt,P37 (Official language),100.0,1
Arab,Egypt,P17 (Country),72.86,140
Arab,Egypt,P103 (Native language),69.01,413
Arab,Egypt,P1412 (Languages spoken or published),59.19,272
Arab,Egypt,P27 (Country of citizenship),41.14,175
Arab,Egypt,P19 (Place of birth),34.15,205
Arab,Egypt,P106 (Occupation),29.86,221
Arab,Egypt,P364 (Original language of work),27.79,529
Arab,Egypt,P449 (Original network),22.22,18
Arab,Egypt,P20 (Place of death),20.17,233
Arab,Egypt,P495 (Country of origin),9.8,408
Arab,Egypt,P136 (Genre),8.33,60
Arab,Egypt,P1303 (Instrument),0.65,155
Arab,Egypt,P190 (Sister city),0.0,8
Arab,Egypt,P264 (Record label),0.0,29
Arab,Egypt,P47 (Shares border with),0.0,1
Arab,Egypt,P530 (Diplomatic relation),0.0,1
Arab,France,P27 (Country of citizenship),30.77,52
Arab,France,P17 (Country),25.0,4
Arab,France,P495 (Country of origin),7.69,52
Arab,Germany,P495 (Country of origin),0.0,5
Arab,Iraq,P103 (Native language),100.0,4
Arab,Iraq,P1376 (Capital of),100.0,1
Arab,Iraq,P36 (Capital),100.0,1
Arab,Iraq,P37 (Official language),100.0,1
Arab,Iraq,P47 (Shares border with),100.0,1
Arab,Iraq,P17 (Country),75.0,12
Arab,Iraq,P1412 (Languages spoken or published),61.54,13
Arab,Iraq,P27 (Country of citizenship),26.67,30
Arab,Iraq,P20 (Place of death),20.0,5
Arab,Iraq,P106 (Occupation),9.38,32
Arab,Iraq,P19 (Place of birth),9.09,22
Arab,Iraq,P1303 (Instrument),0.0,17
Arab,Iraq,P136 (Genre),0.0,8
Arab,Iraq,P190 (Sister city),0.0,1
Arab,Iraq,P264 (Record label),0.0,6
Arab,Iraq,P30 (Continent),0.0,1
Arab,Iraq,P364 (Original language of work),0.0,1
Arab,Iraq,P449 (Original network),0.0,3
Arab,Iraq,P495 (Country of origin),0.0,8
Arab,Iraq,P530 (Diplomatic relation),0.0,1
Arab,Italy,P17 (Country),100.0,1
Arab,Japan,P495 (Country of origin),0.0,1
Arab,Jordan,P36 (Capital),100.0,1
Arab,Jordan,P37 (Official language),100.0,1
Arab,Jordan,P103 (Native language),75.0,16
Arab,Jordan,P17 (Country),64.29,28
Arab,Jordan,P1412 (Languages spoken or published),63.16,19
Arab,Jordan,P364 (Original language of work),60.0,10
Arab,Jordan,P27 (Country of citizenship),45.0,20
Arab,Jordan,P19 (Place of birth),41.67,12
Arab,Jordan,P106 (Occupation),14.29,21
Arab,Jordan,P495 (Country of origin),12.5,16
Arab,Jordan,P20 (Place of death),2.56,39
Arab,Jordan,P1303 (Instrument),0.0,18
Arab,Jordan,P136 (Genre),0.0,5
Arab,Jordan,P190 (Sister city),0.0,3
Arab,Jordan,P264 (Record label),0.0,3
Arab,Jordan,P30 (Continent),0.0,1
Arab,Jordan,P449 (Original network),0.0,1
Arab,Jordan,P47 (Shares border with),0.0,1
Arab,Jordan,P530 (Diplomatic relation),0.0,1
Arab,Kuwait,P1376 (Capital of),100.0,1
Arab,Kuwait,P30 (Continent),100.0,1
Arab,Kuwait,P36 (Capital),100.0,1
Arab,Kuwait,P37 (Official language),100.0,1
Arab,Kuwait,P17 (Country),72.13,61
Arab,Kuwait,P1412 (Languages spoken or published),55.17,116
Arab,Kuwait,P364 (Original language of work),27.34,139
Arab,Kuwait,P103 (Native language),20.33,182
Arab,Kuwait,P106 (Occupation),15.53,103
Arab,Kuwait,P20 (Place of death),14.58,48
Arab,Kuwait,P495 (Country of origin),13.21,106
Arab,Kuwait,P27 (Country of citizenship),12.0,100
Arab,Kuwait,P19 (Place of birth),9.09,88
Arab,Kuwait,P190 (Sister city),8.33,12
Arab,Kuwait,P136 (Genre),6.82,88
Arab,Kuwait,P264 (Record label),3.85,26
Arab,Kuwait,P1303 (Instrument),0.0,173
Arab,Kuwait,P449 (Original network),0.0,41
Arab,Kuwait,P47 (Shares border with),0.0,1
Arab,Kuwait,P530 (Diplomatic relation),0.0,1
Arab,Lebanon,P17 (Country),0.0,1
Arab,Libya,P1376 (Capital of),100.0,1
Arab,Libya,P20 (Place of death),100.0,1
Arab,Libya,P30 (Continent),100.0,1
Arab,Libya,P36 (Capital),100.0,1
Arab,Libya,P37 (Official language),100.0,1
Arab,Libya,P17 (Country),66.67,6
Arab,Libya,P1412 (Languages spoken or published),62.5,8
Arab,Libya,P364 (Original language of work),60.0,5
Arab,Libya,P106 (Occupation),37.5,8
Arab,Libya,P27 (Country of citizenship),28.57,7
Arab,Libya,P103 (Native language),0.0,2
Arab,Libya,P1303 (Instrument),0.0,2
Arab,Libya,P136 (Genre),0.0,1
Arab,Libya,P190 (Sister city),0.0,1
Arab,Libya,P19 (Place of birth),0.0,7
Arab,Libya,P264 (Record label),0.0,1
Arab,Libya,P47 (Shares border with),0.0,1
Arab,Libya,P495 (Country of origin),0.0,5
Arab,Libya,P530 (Diplomatic relation),0.0,1
Arab,Mauritania,P17 (Country),100.0,1
Arab,Monaco,P27 (Country of citizenship),0.0,1
Arab,Morocco,P103 (Native language),100.0,3
Arab,Morocco,P1412 (Languages spoken or published),100.0,3
Arab,Morocco,P30 (Continent),100.0,1
Arab,Morocco,P36 (Capital),100.0,1
Arab,Morocco,P37 (Official language),100.0,1
Arab,Morocco,P106 (Occupation),50.0,4
Arab,Morocco,P17 (Country),50.0,10
Arab,Morocco,P27 (Country of citizenship),33.33,3
Arab,Morocco,P495 (Country of origin),33.33,6
Arab,Morocco,P1303 (Instrument),0.0,3
Arab,Morocco,P136 (Genre),0.0,1
Arab,Morocco,P190 (Sister city),0.0,1
Arab,Morocco,P19 (Place of birth),0.0,3
Arab,Morocco,P20 (Place of death),0.0,2
Arab,Morocco,P47 (Shares border with),0.0,1
Arab,Morocco,P530 (Diplomatic relation),0.0,1
Arab,Netherlands,P495 (Country of origin),0.0,1
Arab,Somalia,P495 (Country of origin),0.0,1
Arab,South Sudan,P30 (Continent),100.0,1
Arab,South Sudan,P36 (Capital),100.0,1
Arab,South Sudan,P37 (Official language),100.0,1
Arab,South Sudan,P530 (Diplomatic relation),100.0,1
Arab,South Sudan,P17 (Country),94.83,58
Arab,South Sudan,P364 (Original language of work),64.71,34
Arab,South Sudan,P1412 (Languages spoken or published),63.64,77
Arab,South Sudan,P103 (Native language),60.0,15
Arab,South Sudan,P106 (Occupation),25.86,58
Arab,South Sudan,P27 (Country of citizenship),22.73,44
Arab,South Sudan,P19 (Place of birth),20.83,72
Arab,South Sudan,P495 (Country of origin),8.33,36
Arab,South Sudan,P20 (Place of death),7.21,111
Arab,South Sudan,P1303 (Instrument),5.88,51
Arab,South Sudan,P136 (Genre),4.17,24
Arab,South Sudan,P190 (Sister city),0.0,6
Arab,South Sudan,P264 (Record label),0.0,3
Arab,South Sudan,P449 (Original network),0.0,2
Arab,South Sudan,P47 (Shares border with),0.0,1
Arab,Spain,P495 (Country of origin),0.0,1
Arab,Switzerland,P27 (Country of citizenship),0.0,1
Arab,Switzerland,P495 (Country of origin),0.0,1
Arab,Syria,P36 (Capital),100.0,1
Arab,Syria,P37 (Official language),100.0,1
Arab,Syria,P103 (Native language),85.63,174
